"PLACEKEY","PARENT_PLACEKEY","LOCATION_NAME","SAFEGRAPH_BRAND_IDS","BRANDS","STORE_ID","TOP_CATEGORY","SUB_CATEGORY","NAICS_CODE","LATITUDE","LONGITUDE","STREET_ADDRESS","CITY","REGION","POSTAL_CODE","ISO_COUNTRY_CODE","PHONE_NUMBER","OPEN_HOURS","CATEGORY_TAGS","OPENED_ON","CLOSED_ON","TRACKING_CLOSED_SINCE","GEOMETRY_TYPE","DOMAINS","WEBSITE"
"222-222@3x9-w5q-pjv","","Landmark Homes","","","","Other Specialty Trade Contractors","",2389.0,53.420403,-113.479141,"1103 95 St SW","Edmonton","AB","T6X 0P8","CA",17804365959.0,"{ ""Mon"": [[""8:00"", ""17:00""]], ""Tue"": [[""8:00"", ""17:00""]], ""Wed"": [[""8:00"", ""17:00""]], ""Thu"": [[""8:00"", ""17:00""]], ""Fri"": [[""8:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }","Contractors","","","2019-07","POLYGON","""[\\""landmarkgroup.ca\\""]""",""
"222-222@3x9-w5s-4d9","","Tober Hembling Callihoo Chartered Accountants","","","","Sporting Goods, Hobby, and Musical Instrument Stores","Sporting Goods Stores",451110.0,53.460158,-113.48322,"2959 Parsons Rd NW","Edmonton","AB","T6N 1A3","CA","","","","","","2019-07","POLYGON","""[]""",""
"222-222@3x9-wbk-z2k","","Mayer Energy Services Ltd","","","","Building Equipment Contractors","Plumbing, Heating, and Air-Conditioning Contractors",238220.0,53.271578,-113.579928,"307 Bridgeport Pl","Leduc","AB","T9E 0M2","CA",17803878049.0,"{ ""Mon"": [[""0:00"", ""24:00""]], ""Tue"": [[""0:00"", ""24:00""]], ""Wed"": [[""0:00"", ""24:00""]], ""Thu"": [[""0:00"", ""24:00""]], ""Fri"": [[""0:00"", ""24:00""]], ""Sat"": [[""0:00"", ""24:00""]], ""Sun"": [[""0:00"", ""24:00""]] }","","","","2019-07","POLYGON","""[]""",""
"222-222@3x9-wmd-9fz","","Camrose Community Connections","","","","General Merchandise Stores, including Warehouse Clubs and Supercenters","All Other General Merchandise Stores",452319.0,53.007187,-112.856267,"6703B Marler Dr","Camrose","AB","T4V 3R2","CA",17806720906.0,"","","","","2019-07","POLYGON","""[]""",""
"222-222@3x9-z59-3wk","","Forever Monuments","","","","Other Miscellaneous Store Retailers","All Other Miscellaneous Store Retailers (except Tobacco Stores)",453998.0,53.4903,-112.033072,"4217 51 Ave","Vegreville","AB","T9C 1C7","CA","","{ ""Mon"": [], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [[""9:00"", ""17:00""]], ""Sun"": [[""9:00"", ""12:00""]] }","","","","2019-07","POLYGON","""[\\""forevermonuments.com\\""]""","http://www.forevermonuments.com"
"222-222@3x9-zqf-c89","226-222@3x9-zqf-c89","Mark's","SG_BRAND_5a2acf84509c8955","Mark's",361.0,"Clothing Stores","Family Clothing Stores",448140.0,53.538706,-113.415869,"9857 50 St NW","Edmonton","AB","T6A 3X5","CA",17804901256.0,"{ ""Mon"": [[""9:00"", ""21:00""]], ""Tue"": [[""9:00"", ""21:00""]], ""Wed"": [[""9:00"", ""21:00""]], ""Thu"": [[""9:00"", ""21:00""]], ""Fri"": [[""9:00"", ""21:00""]], ""Sat"": [[""9:00"", ""18:00""]], ""Sun"": [[""9:00"", ""18:00""]] }","Accessories,Children's Clothing,Men's Clothing,Women's Clothing","","2023-08","2019-07","POLYGON","""[\\""marks.com\\""]""",""
"222-222@3x9-zr8-btv","","Condos at 11618 100 Ave NW","","","","Lessors of Real Estate","Lessors of Residential Buildings and Dwellings",531110.0,53.539253,-113.522421,"11618 100 Ave NW","Edmonton","AB","T5K 0J9","CA","","","","","","2019-07","POLYGON","""[]""",""
"222-222@3x9-zrg-t5f","","Cafe Amore Bistro","","","","Restaurants and Other Eating Places","Full-Service Restaurants",722511.0,53.549647,-113.506966,"10807 106 Ave NW","Edmonton","AB","T5H 4A7","CA",17804777896.0,"{ ""Mon"": [[""11:00"", ""22:00""]], ""Tue"": [[""11:00"", ""22:00""]], ""Wed"": [[""11:00"", ""22:00""]], ""Thu"": [[""11:00"", ""22:00""]], ""Fri"": [[""11:00"", ""23:00""]], ""Sat"": [[""17:00"", ""23:00""]], ""Sun"": [] }","","","","2019-07","POLYGON","""[\\""cafeamorebistro.com\\""]""","http://cafeamorebistro.com"
"222-222@3x9-zrq-q9f","","Leon's","SG_BRAND_385ca961d90b31f1","Leon's",11171918.0,"Furniture Stores","Furniture Stores",442110.0,53.488865,-113.416364,"4939 52 Ave NW","Edmonton","AB","T6B 3L5","CA",17804685511.0,"{ ""Mon"": [[""10:00"", ""20:00""]], ""Tue"": [[""10:00"", ""20:00""]], ""Wed"": [[""10:00"", ""20:00""]], ""Thu"": [[""10:00"", ""20:00""]], ""Fri"": [[""10:00"", ""20:00""]], ""Sat"": [[""10:00"", ""18:00""]], ""Sun"": [[""11:00"", ""17:00""]] }","Electronics,Furniture,Kitchen Supplies,Outdoor Furniture,Outlet Store","","","2019-07","POLYGON","""[\\""leons.ca\\""]""","https://www.leons.ca/pages/store-edmonton-south"
"222-222@3x9-zrr-y35","zzw-224@3x9-zrr-yd9","Creations Dining Room & Lounge","","","","Restaurants and Other Eating Places","Full-Service Restaurants",722511.0,53.478801,-113.49117,"4235 Gateway Blvd NW","Edmonton","AB","T6J 5H2","CA",17809894439.0,"{ ""Mon"": [[""6:30"", ""14:00""], [""17:30"", ""22:30""]], ""Tue"": [[""6:30"", ""14:00""], [""17:30"", ""22:30""]], ""Wed"": [[""6:30"", ""14:00""], [""17:30"", ""22:30""]], ""Thu"": [[""6:30"", ""14:00""], [""17:30"", ""22:30""]], ""Fri"": [[""6:30"", ""14:00""], [""17:30"", ""22:30""]], ""Sat"": [[""6:30"", ""14:00""], [""17:30"", ""22:30""]], ""Sun"": [[""10:30"", ""13:30""]] }","Late Night","","","2019-07","POLYGON","""[\\""sawridge.com\\""]""","http://www.sawridge.com/our-hotels/edmonton-south/dine-and-lounge/"
"222-222@3x9-zt2-jn5","","Dovercourt Baptist Church","","","","Religious Organizations","Religious Organizations",813110.0,53.576409,-113.557326,"12321 135 St NW","Edmonton","AB","T5L 1X6","CA",17804550246.0,"","","","","2019-07","POLYGON","""[]""",""
"222-222@3xb-dg5-zs5","","Kal Tire","SG_BRAND_bc93117372df62e","Kal Tire",92.0,"Automotive Parts, Accessories, and Tire Stores","Automotive Parts and Accessories Stores",441310.0,52.315079,-113.811622,"8050 49 Ave","Red Deer","AB","T4P 2V7","CA",14033478851.0,"{ ""Mon"": [[""8:00"", ""17:00""]], ""Tue"": [[""8:00"", ""17:00""]], ""Wed"": [[""8:00"", ""17:00""]], ""Thu"": [[""8:00"", ""17:00""]], ""Fri"": [[""8:00"", ""17:00""]], ""Sat"": [[""8:00"", ""17:00""]], ""Sun"": [] }","Auto Repair,Oil Changes,Tires","","","2019-07","POLYGON","""[\\""kaltire.com\\""]""",""
"222-222@3xb-g95-jsq","","Freedom 55 Financial","","","","Agencies, Brokerages, and Other Insurance Related Activities","Insurance Agencies and Brokerages",524210.0,52.304505,-114.095127,"4820 47 Ave","Sylvan Lake","AB","T4S 1P2","CA",14038876046.0,"","","","","2019-07","POLYGON","""[]""",""
